本シートは「システム開発タスク」の中項目「アプリ構築」範囲について、開発機能項目別に実装工数を算出するためのシートです,,,,,,利用者,,開発機能,,,,,,
,大項目,中項目,小項目,内容,備考,User,Admin,UI,API,その他,工数(人日),工数算出根拠,工数前提条件,見積実施者
28,バックエンド,認証系,管理者認証API,管理者認証処理,AUTH-005,FALSE,TRUE,FALSE,TRUE,FALSE,2,管理者認証実装,権限管理含む,
29,バックエンド,映画情報系,映画一覧取得API,映画データ取得処理,MOVIE-001/002,TRUE,TRUE,FALSE,TRUE,FALSE,2,データ取得と条件フィルタリング,クエリパラメータ対応,
30,バックエンド,映画情報系,映画登録API,映画データ作成処理,MOVIE-003,FALSE,TRUE,FALSE,TRUE,FALSE,2.5,データ作成とバリデーション,画像データ処理含む,
31,バックエンド,映画情報系,映画更新API,映画データ更新処理,MOVIE-004,FALSE,TRUE,FALSE,TRUE,FALSE,2.5,データ更新とバリデーション,関連データ整合性チェック含む,
32,バックエンド,映画情報系,映画削除API,映画データ削除処理,MOVIE-005,FALSE,TRUE,FALSE,TRUE,FALSE,2,削除処理と依存関係確認,上映情報との整合性チェック,
33,バックエンド,上映情報系,上映情報一覧取得API,上映データ取得処理,SCREENING-001/002,TRUE,TRUE,FALSE,TRUE,FALSE,2.5,データ取得とフィルタリング,複数条件対応,
34,バックエンド,上映情報系,上映情報登録API,上映データ作成処理,SCREENING-003,FALSE,TRUE,FALSE,TRUE,FALSE,3.5,複雑な重複チェックロジック,同時上映禁止検証（+0.5日バッファ）,
35,バックエンド,上映情報系,上映情報更新API,上映データ更新処理,SCREENING-004,FALSE,TRUE,FALSE,TRUE,FALSE,3.5,更新処理と整合性チェック,予約との整合性（+0.5日バッファ）,
36,バックエンド,上映情報系,上映情報削除API,上映データ削除処理,SCREENING-005,FALSE,TRUE,FALSE,TRUE,FALSE,2.5,削除処理と依存関係確認,予約との整合性チェック,
37,バックエンド,上映情報系,座席状況取得API,座席予約状況取得処理,SCREENING-006,TRUE,TRUE,FALSE,TRUE,FALSE,2,データ取得と整形処理,リアルタイム性考慮,
38,バックエンド,上映情報系,上映カレンダーAPI,カレンダー形式データ取得,SCREENING-007,TRUE,TRUE,FALSE,TRUE,FALSE,3,複雑なデータ処理と整形,期間指定対応,
39,バックエンド,予約系,ユーザー予約一覧API,ユーザー予約データ取得,BOOKING-001/002,TRUE,FALSE,FALSE,TRUE,FALSE,2,データ取得と整形,認証連携,
40,バックエンド,予約系,座席予約処理API,予約作成処理,BOOKING-003,TRUE,FALSE,FALSE,TRUE,FALSE,4,複雑な予約処理とバリデーション,競合チェック（+1日バッファ）,
41,バックエンド,予約系,予約確定API,決済後予約確定処理,BOOKING-004,TRUE,FALSE,FALSE,TRUE,FALSE,3.5,決済連携と予約確定処理,トランザクション管理（+0.5日バッファ）,
42,バックエンド,予約系,予約キャンセルAPI,キャンセル処理,BOOKING-005,TRUE,FALSE,FALSE,TRUE,FALSE,2.5,キャンセル処理と期限チェック,キャンセル期限バリデーション,
43,バックエンド,予約系,管理者予約管理API,管理者予約データ取得,BOOKING-006/007,FALSE,TRUE,FALSE,TRUE,FALSE,3,複雑なクエリ処理,検索・フィルタ機能,
44,バックエンド,予約系,仮予約API,仮予約処理,BOOKING-008,TRUE,FALSE,FALSE,TRUE,FALSE,2.5,一時データ処理と有効期限設定,競合チェック含む,
45,バックエンド,予約系,予約エクスポートAPI,CSVデータ出力処理,BOOKING-009,FALSE,TRUE,FALSE,TRUE,FALSE,2,データ整形とCSV出力,大量データ対応,
46,バックエンド,決済系,決済インテント作成API,Stripe決済準備処理,PAYMENT-001,TRUE,FALSE,FALSE,TRUE,FALSE,3.5,外部API連携と処理,エラーハンドリング（+0.5日バッファ）,
47,バックエンド,決済系,Webhook処理API,決済イベント処理,PAYMENT-002,TRUE,FALSE,FALSE,TRUE,FALSE,4,複雑なイベント処理とエラーハンドリング,セキュリティ検証（+1日バッファ）,
48,バックエンド,決済系,決済処理API,支払い実行処理,PAYMENT-003/004,TRUE,FALSE,FALSE,TRUE,FALSE,3,決済実行と結果処理,トランザクション管理,
49,バックエンド,通知系,メール送信処理API群,各種メール送信処理,NOTIFICATION-001〜005,TRUE,TRUE,FALSE,TRUE,FALSE,4,テンプレート処理とメール配信,複数テンプレート対応,
50,バックエンド,バッチ処理系,バッチ処理API群,自動処理API群,BATCH-001〜003,FALSE,FALSE,FALSE,TRUE,TRUE,3,自動処理ロジック実装,定期実行設定,
51,その他,インフラ構築,インフラストラクチャ設定,AWSなどのクラウド環境設定,,FALSE,FALSE,FALSE,FALSE,TRUE,3,開発・本番環境構築,クラウドサービス前提,
52,その他,CI/CD,継続的インテグレーション構築,自動テスト・デプロイ設定,,FALSE,FALSE,FALSE,FALSE,TRUE,2,CI/CDパイプライン構築,GitHub Actionsなど使用前提,
